_id/$oid,nombre,categoria,marca,presentacion,id
5cbc69be7af152186c0cd611,Limpiador Pisos Plastificados Blem 900 Cc,Limpieza,BLEM,900.0 cc,7790520004321
5cbc69be7af152186c0cd61e,Limpiadores color Rojo Ceramicol Quick 900 Cc,Limpieza,CERAMICOL,900.0 cc,7790520012135
5cbc69be7af152186c0cd70b,Limpiavidrio y Mulituso en Gatillo Cif 500 Ml,Limpieza,CIF,500.0 ml,7791290785328
5cbc69be7af152186c0cd608,Lustramuebles en Aerosol con Siliconas Resistentes Ceramicol 360 Cc,Limpieza,CERAMICOL,360.0 cc,7790463000114
5cbc69be7af152186c0cd607,Lustramuebles Original Blem 360 Cc,Limpieza,BLEM,360.0 cc,7790463000084
5cbc69be7af152186c0cd5da,Pañuelos con Extracto de Seda Elite 6 Un,Limpieza,ELITE,35.0 un,7790250054726
5cbc69be7af152186c0cd5d9,Pañuelos Descartables Box Elite 75 Un,Limpieza,ELITE,75.0 un,7790250054283
5cbc69be7af152186c0cd5d7,Papel Higienico Doble Hoja Higienol Pack 4 Un 120 Mt,Limpieza,HIGIENOL,120.0 mt,7790250019589
5cbc69be7af152186c0cd5d6,Papel Higienico Doble Hoja Premium Higienol Pack 4 Un 120 Mt,Limpieza,HIGIENOL,120.0 mt,7790250019565
5cbc69be7af152186c0cd5d8,Papel Higienico Doble Hoja Ultra Elite Pack 4 Un 120 Mt,Limpieza,ELITE,120.0 mt,7790250024002
5cbc69be7af152186c0cd5d4,Papel Higienico Hoja Simple Export Plus Higienol Pack 4 Un 120 Mt,Limpieza,HIGIENOL,120.0 mt,7790250014904
5cbc69be7af152186c0cd5d5,Papel Higienico Max Manzanilla Higienol Pack 4 Un 320 Mt,Limpieza,HIGIENOL,320.0 mt,7790250015055
5cbc69be7af152186c0cd7cd,Pastilla Inodoro Canasta Ayudin 16 Gr,Limpieza,AYUDÍN,16.0 gr,7793253300081
5cbc69be7af152186c0cd7cc,Prelavado de Coleres Vivos Doypack Ayudin 470 Cc,Limpieza,AYUDÍN,470.0 cc,7793253002329
5cbc69be7af152186c0cd6d8,Quita Sarro Desinfectante en Gel Harpic 500 Ml,Limpieza,HARPIC,500.0 ml,7791130681384
5cbc69be7af152186c0cd7c5,Quitamanchas Efecto Espuma en Doypack Trenet Oxi 400 Cc,Limpieza,TRENET,400.0 cc,7793253001186
5cbc69be7af152186c0cd7c6,Quitamanchas Efecto Espuma en Doypack Trenet Oxi 400 Cc,Limpieza,TRENET,400.0 cc,7793253001209
5cbc69be7af152186c0cd616,Repelente en Aerosol Extra Duracion Off 165 Cc,Limpieza,OFF,165.0 cc,7790520009500
5cbc69be7af152186c0cd61f,Repelente en Crema Accion Instantanea Off Familiy Active 200 Gr,Limpieza,OFF,200.0 gr,7790520012173
5cbc69be7af152186c0cd615,Repelente Family Active Aerosol Off 165 Cc,Limpieza,OFF,165.0 cc,7790520009494
5cbc69be7af152186c0cd5db,Rollo Cocina Clasico 150 Paños Sussex Pack 3 Un,Limpieza,SUSSEX,3.0 un,7790250056775
5cbc69be7af152186c0cd5dc,Rollo Cocina Ultramax 180 Paños Sussex Pack 3 Un,Limpieza,SUSSEX,3.0 un,7790250056799
5cbc69be7af152186c0cd6f5,Suavizante para Ropa Classic Comfort 900 Cc,Limpieza,COMFORT,900.0 cc,7791290010444
5cbc69be7af152186c0cd6f6,Suavizante para Ropa Classic Vivere 900 Cc,Limpieza,VÍVERE,900.0 cc,7791290010482
5cbc69be7af152186c0cd6f7,Suavizante para Ropa Violetas Flores Vivere 900 Cc,Limpieza,VÍVERE,900.0 cc,7791290010499
5cbc69be7af152186c0cd708,Suavizante para Ropa Vivere 3 Lt,Limpieza,VÍVERE,3.0 lt,7791290013551
5cbc69be7af152186c0cd709,Suavizante para Ropa Vivere Plancha Facil 810 Ml,Limpieza,VÍVERE,810.0 ml,7791290013582
5cbc69be7af152186c0cd61a,Tabletas contra Mosquitos Fuyi Doble Accion 16 Noches 16 Un,Limpieza,FUYÍ,16.0 un,7790520010049
5cbc69be7af152186c0cd629,Tabletas Mata Moscas y Mosquitos Doble Accion Raid 12 Un,Limpieza,RAID,12.0 un,7790520017345
5cbc69be7af152186c0cd59e,Manteca con Multivitaminas Sancor 200 Gr,Manteca,SANCOR,200.0 gr,7790080010879
5cbc69be7af152186c0cd7ee,Manteca Extra La Serenisima 100 Gr,Manteca,LA SERENÍSIMA,100.0 gr,7793940052002
5cbc69be7af152186c0cd7ef,Manteca La Serenisima 200 Gr,Manteca,LA SERENÍSIMA,200.0 gr,7793940054006
5cbc69be7af152186c0cd66a,Manteca Untable La Serenisima Light 200 Gr,Manteca,LA SERENÍSIMA,200.0 gr,7790742135100
5cbc69be7af152186c0cd75c,Margarina Clasica Danica 200 Gr,Manteca,DÁNICA,200.0 gr,7791620009803
5cbc69be7af152186c0cd82e,Alimento para Gatos Adultos Carne Whiskas 85 Gr,Mascotas,WHISKAS,85.0 gr,7797453000420
5cbc69be7af152186c0cd4d0,Alimento para Gatos Adultos Cat Chow 500 Gr,Mascotas,CAT CHOW,500.0 gr,7613034875068
5cbc69be7af152186c0cd82d,Alimento para Gatos Adultos Salmon Whiskas 85 Gr,Mascotas,WHISKAS,85.0 gr,7797453000413
5cbc69be7af152186c0cd82c,Alimento para Gatos Carne Whiskas Gatitos 85 Gr,Mascotas,WHISKAS,85.0 gr,7797453000406
5cbc69be7af152186c0cd4c8,Alimento para Perros Adulto Dog Chow 3 Kg,Mascotas,DOG CHOW,3.0 kg,7613034416902
5cbc69be7af152186c0cd4c9,Alimento para Perros Adultos Dog Chow 1.5Kg,Mascotas,DOG CHOW,1.5 kg,7613034416926
5cbc69be7af152186c0cd831,Alimento para Perros Adultos Pollo Pouch Pedigree 85 Gr,Mascotas,PEDIGREE,85.0 gr,7797453000482
5cbc69be7af152186c0cd830,Alimento para Perros Adultos Raza Pequeña Carne Pedigree 100 Gr,Mascotas,PEDIGREE,100.0 gr,7797453000475
5cbc69be7af152186c0cd82f,Alimento para Perros Cachorro Sano Crecimiento Pedigree 85 Gr,Mascotas,PEDIGREE,85.0 gr,7797453000468
5cbc69be7af152186c0cd4cb,Alimento para Perros Cachorros Medianos y Grandes Dog Chow 1.5 Kg,Mascotas,DOG CHOW,1.5 kg,7613034435408
5cbc69be7af152186c0cd670,Dulce de Leche Casanto 400 Gr,Mermeladas y dulces,CASANTO,400.0 gr,7790742151001
5cbc69be7af152186c0cd66b,Dulce de Leche Colonial con Calcio La Serenisima 400 Gr,Mermeladas y dulces,LA SERENÍSIMA,400.0 gr,7790742140609
5cbc69be7af152186c0cd664,Dulce de Leche Colonial La Serenisima 250 Gr,Mermeladas y dulces,LA SERENÍSIMA,250.0 gr,7790742104205
5cbc69be7af152186c0cd66d,Dulce de Leche Fuente de Calcio La Serenisima 400 Gr,Mermeladas y dulces,LA SERENÍSIMA,400.0 gr,7790742144607
5cbc69be7af152186c0cd679,Dulce de Leche Fuente de Calcio Ser 400 Gr,Mermeladas y dulces,SER,400.0 gr,7790742187703
5cbc69be7af152186c0cd663,Dulce de Leche Repostero La Serenisima 400 Gr,Mermeladas y dulces,LA SERENÍSIMA,400.0 gr,7790742067005
5cbc69be7af152186c0cd7d8,Mermelada de Ciruela Diet BC La Campagnola 390 Gr,Mermeladas y dulces,LA CAMPAGNOLA,390.0 gr,7793360815003
5cbc69be7af152186c0cd640,Mermelada de Ciruela en Frasco Arcor 454 Gr,Mermeladas y dulces,ARCOR,454.0 gr,7790580509309
5cbc69be7af152186c0cd7d3,Mermelada de Ciruela Frasco La Campagnola 454 Gr,Mermeladas y dulces,LA CAMPAGNOLA,454.0 gr,7793360801709
5cbc69be7af152186c0cd7da,Mermelada de Damasco Diet BC La Campagnola 390 G,Mermeladas y dulces,LA CAMPAGNOLA,390.0 gr,7793360816505
5cbc69be7af152186c0cd641,Mermelada de Damasco Frasco Arcor 454 Gr,Mermeladas y dulces,ARCOR,454.0 gr,7790580509408
5cbc69be7af152186c0cd7d6,Mermelada de Durazno Diet BC La Campagnola 390 Gr,Mermeladas y dulces,LA CAMPAGNOLA,390.0 gr,7793360811401
5cbc69be7af152186c0cd642,Mermelada de Durazno Frasco Arcor 454 Gr,Mermeladas y dulces,ARCOR,454.0 gr,7790580509507
5cbc69be7af152186c0cd7d1,Mermelada de Durazno Frasco La Campagnola 454 Gr,Mermeladas y dulces,LA CAMPAGNOLA,454.0 gr,7793360800009
5cbc69be7af152186c0cd7d5,Mermelada de Frambuesa Frasco La Campagnola 454 Gr,Mermeladas y dulces,LA CAMPAGNOLA,454.0 gr,7793360805707
5cbc69be7af152186c0cd7d7,Mermelada de Frutilla BC La Campagnola 390 Gr,Mermeladas y dulces,LA CAMPAGNOLA,390.0 gr,7793360812101
5cbc69be7af152186c0cd643,Mermelada de Frutilla Frasco Arcor 454 Gr,Mermeladas y dulces,ARCOR,454.0 gr,7790580509606
5cbc69be7af152186c0cd7d2,Mermelada de Frutilla La Campagnola 454 Gr,Mermeladas y dulces,LA CAMPAGNOLA,454.0 gr,7793360800900
5cbc69be7af152186c0cd7d9,Mermelada de Naranja Diet BC La Campagnola 390 Gr,Mermeladas y dulces,LA CAMPAGNOLA,390.0 gr,7793360815201
5cbc69be7af152186c0cd644,Mermelada de Naranja Frasco Arcor 454 Gr,Mermeladas y dulces,ARCOR,454.0 gr,7790580509804
5cbc69be7af152186c0cd7d4,Mermelada de Naranja Frasco La Campagnola 454 Gr,Mermeladas y dulces,LA CAMPAGNOLA,454.0 gr,7793360802300
5cbc69be7af152186c0cd645,Mermelada de Naranja Light Frasco Arcor 390 Gr,Mermeladas y dulces,ARCOR,390.0 gr,7790580511609
5cbc69be7af152186c0cd5bb,Miel Liquida Pote Aleluya 190 Gr,Mermeladas y dulces,ALELUYA,190.0 gr,7790158021509
5cbc69be7af152186c0cd6d4,Aritos de Cereales Frutales Granix 130 Gr,Cereales azucarados,GRANIX,130.0 gr,7791078022737
5cbc69be7af152186c0cd526,Barra de Cereales con Yogur Frutilla Cereal Mix 168 Gr,Cereales azucarados,CEREAL MIX,168.0 gr,7790040455719
5cbc69be7af152186c0cd525,Barra de Cereales Light con Yogur Frutilla Cereal Mix 168 Gr,Cereales azucarados,CEREAL MIX,168.0 gr,7790040455306
5cbc69be7af152186c0cd522,Barra de Cereales Light Manzana Cereal Mix Pack 6 Un 132 Gr,Cereales azucarados,CEREAL MIX,132.0 gr,7790040379107
5cbc69be7af152186c0cd521,Barra de Cereales Tradicional Cereal Mix 6 Un 138 Gr,Cereales azucarados,CEREAL MIX,138.0 gr,7790040378506
5cbc69be7af152186c0cd78a,Bizcochitos Agridulces 9 de Oro 200 Gr,Panificados,9 DE ORO,200.0 gr,7792200000128
5cbc69be7af152186c0cd78b,Bizcochitos Clasicas 9 de Oro 200 Gr,Panificados,9 DE ORO,200.0 gr,7792200000159
5cbc69be7af152186c0cd828,Bizcochitos con Grasa Salados Don Satur 200 Gr,Panificados,DON SATUR,200.0 gr,7795735000328
5cbc69be7af152186c0cd78d,Bizcochitos Light 9 de Oro 170 Gr,Panificados,9 DE ORO,170.0 gr,7792200000777
5cbc69be7af152186c0cd582,Bizcocho de Arroz Dulce Crocante Gallo Snacks 100 Gr,Panificados,GALLO SNACKS,100.0 gr,7790070411358
5cbc69be7af152186c0cd82a,Bizcocho Negrito Don Satur 200 Gr,Panificados,DON SATUR,200.0 gr,7795735000342
5cbc69be7af152186c0cd829,Bizcochos Agridulces Don Satur 200 Gr,Panificados,DON SATUR,200.0 gr,7795735000335
5cbc69be7af152186c0cd78c,Bizcochos Azucarados 9 de Oro 210 Gr,Panificados,9 DE ORO,210.0 gr,7792200000319
5cbc69be7af152186c0cd6d3,Bocaditos de Cereales Rellenos con Avellana Granix 180 Gr,Panificados,GRANIX,180.0 gr,7791078022713
5cbc69be7af152186c0cd6d2,Bocaditos de Cereales Rellenos con Frutilla Granix 180 Gr,Panificados,GRANIX,180.0 gr,7791078022706
